id;id_fantoir;numero;rep;nom_voie;code_postal;code_insee;nom_commune;code_insee_ancienne_commune;nom_ancienne_commune;x;y;lon;lat;type_position;alias;nom_ld;libelle_acheminement;nom_afnor;source_position;source_nom_voie;certification_commune;cad_parcelles;id_ban_adresse;id_ban_toponyme;id_ban_commune;status
21012_0093_00006;21012_0093;6;;Impasse Maurice Toussaint;21400;21012;Ampilly-le-Sec;;;814655.67;6746341.15;4.531891;47.807455;entrée;;;AMPILLY LE SEC;IMPASSE MAURICE TOUSSAINT;commune;commune;1;210120000E0169;35770c0d-089b-40d6-a446-9adce7cf2c56;0c7ca4b1-1d72-467e-946e-5896c8f53e89;d51179f7-4ee2-4e05-b4e6-82ffe9557dfd;add
21012_0170_00001;21012_0170;1;;Rue de la Vacherie;21400;21012;Ampilly-le-Sec;;;814621.25;6746409.6;4.531449;47.808077;entrée;;;AMPILLY LE SEC;RUE DE LA VACHERIE;commune;commune;1;;35a00563-e3e1-4304-9c04-cab3805aa1f8;8a7ce569-d883-4dd9-bcb1-ecf5b8255ec4;d51179f7-4ee2-4e05-b4e6-82ffe9557dfd;missing
21012_0090_00006;21012_0090;6;;Rue de la Maison Commune;21400;21012;Ampilly-le-Sec;;;814530.13;6746545.41;4.530267;47.809315;entrée;;;AMPILLY LE SEC;RUE DE LA MAISON COMMUNE;commune;commune;1;210120000E0038;3a99fdd4-1c23-49fb-9bb7-b2419c8b55f5;c22d59b0-577a-4083-ac3e-cbc8878b1b1f;d51179f7-4ee2-4e05-b4e6-82ffe9557dfd;add
21012_lmi9uj_00717;;717;;Voie Communale n° 5 dite des Forges;21400;21012;Ampilly-le-Sec;;;815186.21;6747072.15;4.539168;47.81394;entrée;;;AMPILLY LE SEC;VOIE C N 5 DITE DES FORGES;commune;commune;1;210120000F0084|210120000F0083|210120000F0082;4210fc06-9ef1-4ff3-89c2-98c68d8fb41c;f56fb1d9-3a3c-4ee2-af60-d3f306406506;d51179f7-4ee2-4e05-b4e6-82ffe9557dfd;exist
21012_0150_00005;21012_0150;5;;Grande Rue;21400;21012;Ampilly-le-Sec;;;814638.22;6746576.96;4.531719;47.80958;entrée;;;AMPILLY LE SEC;GRANDE RUE;commune;commune;1;210120000E0048;4244e9cd-3ead-4960-abd2-e3a433701688;df4ca75e-7d08-4db5-85e6-ef090b3c2fbf;d51179f7-4ee2-4e05-b4e6-82ffe9557dfd;add
21012_0099_00005;21012_0099;5;;Rue du Parc;21400;21012;Ampilly-le-Sec;;;814811.68;6746203.15;4.533939;47.806186;entrée;;;AMPILLY LE SEC;RUE DU PARC;commune;commune;1;;425862a6-0009-4f32-8d8f-3163889fc458;5334239d-0d59-4734-887f-a62813278227;d51179f7-4ee2-4e05-b4e6-82ffe9557dfd;missing
21012_0150_00009;21012_0150;9;;Grande Rue;21400;21012;Ampilly-le-Sec;;;814641.77;6746594.7;4.531771;47.809739;entrée;;;AMPILLY LE SEC;GRANDE RUE;commune;commune;1;210120000E0232;431beed4-622f-40ff-954f-945e0018220b;df4ca75e-7d08-4db5-85e6-ef090b3c2fbf;d51179f7-4ee2-4e05-b4e6-82ffe9557dfd;add
21012_8becb1_00002;;2;;Voie communale n° 201 dite de la Grange au Noir;21400;21012;Ampilly-le-Sec;;;811889.45;6745439.54;4.494713;47.799819;entrée;;;AMPILLY LE SEC;VOIE C N 201 DITE GRANGE AU NOIR;commune;commune;1;210120000L0003;438b6b71-7eff-424a-b34e-b029ee72ea27;38617222-b1ef-4906-be20-28972316407f;d51179f7-4ee2-4e05-b4e6-82ffe9557dfd;exist
21012_0030_00002;21012_0030;2;;Rue de Chamesson;21400;21012;Ampilly-le-Sec;;;814666.43;6746380.92;4.532045;47.807811;entrée;;;AMPILLY LE SEC;RUE DE CHAMESSON;commune;commune;1;;43d88216-a3e3-4d56-adf7-9d0f0657b5df;04822e31-ad74-4eba-aa54-2ebd7554c7b3;d51179f7-4ee2-4e05-b4e6-82ffe9557dfd;missing
21012_0099_00004;21012_0099;4;;Rue du Parc;21400;21012;Ampilly-le-Sec;;;814793.01;6746162.23;4.533679;47.805821;entrée;;;AMPILLY LE SEC;RUE DU PARC;commune;commune;1;;43dbdf99-648e-437b-9bab-01b92a0059dc;5334239d-0d59-4734-887f-a62813278227;d51179f7-4ee2-4e05-b4e6-82ffe9557dfd;missing
